Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
1997,1,25,Dallas Stars,Brenden Morrow\morrobr01,CA,LW,18,2015,Portland,WHL,x,991,265,310,575,107,1362
1998,1,25,Detroit Red Wings,Jiri Fischer\fischji01,CS,D,18,2006,Hull,QMJHL,x,305,11,49,60,29,295
1999,1,25,Colorado Avalanche,Mikhail Kuleshov\kulesmi01,SU,LW,18,2004,Cherepovets,KHL,x,3,0,0,0,-1,0
2000,1,25,Dallas Stars,Steve Ott\ottst01,CA,C,18,2017,Windsor,OHL,x,848,109,179,288,-66,1555
2001,1,25,Montreal Canadiens,Alexander Perezhogin\perezal01,SU,LW,18,2007,Avangard Omsk,KHL,x,128,15,19,34,16,86
2002,1,25,Carolina Hurricanes,Cam Ward\wardca01,CA,G,18,2019,Red Deer,WHL,x,701,1,12,13,0,48
2003,1,25,Florida Panthers,Anthony Stewart\stewaan01,CA,RW,18,2012,Kingston,OHL,x,262,27,44,71,-16,123
2004,1,25,Edmonton Oilers,Rob Schremp\schrero01,US,C,18,2011,London,OHL,x,114,20,34,54,-23,26
2005,1,25,Edmonton Oilers,Andrew Cogliano\coglian01,CA,LW,18,2020,St. Michael's Jr. B,OJHL,x,1012,165,234,399,40,345
1993,1,26,Pittsburgh Penguins,Stefan Bergkvist\bergkst01,SE,D,18,1997,Leksand,Sweden,x,7,0,0,0,-1,9
1994,1,26,New York Rangers,Dan Cloutier\cloutda01,CA,G,18,2008,Sault Ste. Marie,OHL,x,351,0,5,5,0,147
1995,1,26,Detroit Red Wings,Maxim Kuznetsov\kuznema01,SU,D,18,2004,Dynamo Moscow,Russia,x,136,2,8,10,-5,137
1996,1,26,Detroit Red Wings,Jesse Wallin\wallije01,CA,D,18,2003,Red Deer,WHL,x,49,0,2,2,-5,34
1997,1,26,Colorado Avalanche,Kevin Grimes,CA,,,,Kingston,OHL,,,,,,,
1998,1,26,New Jersey Devils,Mike Van Ryn\vanrymi01,CA,D,19,2009,Michigan,CCHA,x,353,30,99,129,5,260
1999,1,26,Ottawa Senators,Martin Havlat\havlama01,CS,RW,18,2016,Trinec,Czech,x,790,242,352,594,78,404
2000,1,26,Washington Capitals,Brian Sutherby\suthebr01,CA,C,18,2011,Moose Jaw,WHL,x,460,41,49,90,-32,533
2001,1,26,Dallas Stars,Jason Bacashihua\bacasja01,US,G,18,2007,Chicago Freeze,NAHL,x,38,0,1,1,0,2
2002,1,26,Dallas Stars,Martin Vagner,CZ,D,18,,Hull,QMJHL,,,,,,,
2003,1,26,Los Angeles Kings,Brian Boyle\boylebr01,US,C,18,2020,St. Sebastian's,High-MA,x,805,130,101,231,-48,588
2004,1,26,Vancouver Canucks,Cory Schneider\schneco01,US,G,18,2020,Andover,High-MA,x,409,0,9,9,0,4
2005,1,26,Calgary Flames,Matt Pelech\pelecma01,CA,RW,18,2014,Sarnia,OHL,x,13,1,3,4,2,38
1998,1,27,New Jersey Devils,Scott Gomez\gomezsc01,US,C,18,2016,Tri-City,WHL,x,1079,181,575,756,-1,655
1999,1,27,New Jersey Devils,Ari Ahonen,FI,,,,JYP HT Jyvaskyla Jr.,Finland-Jr.,,,,,,,
2000,1,27,Boston Bruins,Martin Samuelsson\samuema01,SE,RW,18,2004,MoDo Ornskoldsvik,Sweden,x,14,0,1,1,-2,2
2001,1,27,Philadelphia Flyers,Jeff Woywitka\woywije01,CA,D,18,2012,Red Deer,WHL,x,278,9,46,55,3,149
2002,1,27,San Jose Sharks,Mike Morris,US,RW,19,,St. Sebastian's,High-MA,,,,,,,
2003,1,27,Los Angeles Kings,Jeff Tambellini\tambeje01,CA,LW,19,2011,Michigan,CCHA,x,242,27,36,63,-20,88
2004,1,27,Washington Capitals,Jeff Schultz\schulje02,CA,D,18,2016,Calgary,WHL,x,409,11,65,76,78,137
2005,1,27,Washington Capitals,Joe Finley\finlejo01,US,D,18,2013,Sioux Falls,USHL,x,21,0,1,1,-8,32
1993,2,27,Ottawa Senators,Radim Bicanek\bicanra01,CS,D,18,2002,Dukla Jihlava,Czech-2,x,122,1,11,12,-12,62
1994,2,27,Florida Panthers,Rhett Warrener\warrerh01,CA,D,18,2008,Saskatoon,WHL,x,714,24,82,106,73,899
1995,2,27,Ottawa Senators,Marc Moro\moroma01,CA,D,18,2002,Kingston,OHL,x,30,0,0,0,-5,77
1996,2,27,Buffalo Sabres,Cory Sarich\saricco01,CA,D,18,2014,Saskatoon,WHL,x,969,21,137,158,-9,1089
1997,2,27,Boston Bruins,Ben Clymer\clymebe01,US,RW,19,2007,Minnesota,WCHA,x,438,52,77,129,-64,367
1999,1,28,New York Islanders,Kristian Kudroc\kudrokr01,CS,D,18,2004,Michalovce,Slovakia-2,x,26,2,2,4,0,38
2000,1,28,Philadelphia Flyers,Justin Williams\williju01,CA,RW,18,2020,Plymouth,OHL,x,1264,320,477,797,110,766
2001,1,28,New Jersey Devils,Adrian Foster,CA,C,19,,Saskatoon,WHL,,,,,,,
2002,1,28,Colorado Avalanche,Jonas Johansson\johanjo02,SE,RW,18,2006,HV 71 Jonkoping Jr.,Sweden-Jr.,x,1,0,0,0,0,2
2003,1,28,Anaheim Ducks,Corey Perry\perryco01,CA,RW,18,2020,London,OHL,x,1045,377,420,797,74,1180
2004,1,28,Dallas Stars,Mark Fistric\fistrma01,CA,D,18,2015,Vancouver,WCHL,x,325,4,30,34,28,284
2005,1,28,Dallas Stars,Matt Niskanen\niskama01,US,D,18,2020,Virginia,High-MN,x,949,72,284,356,112,489
1993,2,28,San Jose Sharks,Shean Donovan\donovsh01,CA,RW,18,2010,Ottawa,OHL,x,951,112,129,241,-90,705
1994,2,28,Anaheim Ducks,Johan Davidsson\davidjo02,SE,C,18,2000,HV 71 Jonkoping,Sweden,x,83,6,9,15,-9,16
1995,2,28,New York Islanders,Jan Hlavac\hlavaja01,CS,LW,18,2008,Sparta Praha,Czech,x,436,90,134,224,-4,138
1996,2,28,Pittsburgh Penguins,Pavel Skrbek\skrbepa01,CS,D,18,2002,Poldi Kladno,Czech,x,12,0,0,0,1,8
1997,2,28,Carolina Hurricanes,Brad DeFauw\defaubr01,US,LW,19,2003,North Dakota,WCHA,x,9,3,0,3,-2,2
1998,2,28,Colorado Avalanche,Ramzi Abid\abidra01,CA,LW,18,2007,Chicoutimi,QMJHL,x,68,14,16,30,-11,78
2000,1,29,Detroit Red Wings,Niklas Kronwall\kronwni01,SE,D,19,2019,Djurgarden,Sweden,x,953,83,349,432,-5,564
2001,1,29,Chicago Blackhawks,Adam Munro\munroad01,CA,G,18,2006,Erie,OHL,x,17,0,1,1,0,2
2002,1,29,Boston Bruins,Hannu Toivonen\toivoha01,FI,G,18,2008,HPK Hameenlinna,Finland,x,61,0,0,0,0,10
2003,1,29,Ottawa Senators,Patrick Eaves\eavespa01,CA,RW,19,2019,Boston College,H-East,x,633,132,110,242,4,210
2004,1,29,Washington Capitals,Mike Green\greenmi03,CA,D,18,2020,Saskatoon,WHL,x,880,150,351,501,-17,592
2005,1,29,Philadelphia Flyers,Steve Downie\downist01,CA,RW,18,2016,Windsor,OHL,x,434,76,120,196,21,1057
1993,2,29,Tampa Bay Lightning,Tyler Moss\mossty01,CA,G,18,2003,Kingston,OHL,x,30,0,1,1,0,0
1994,2,29,Ottawa Senators,Stan Neckar\neckast01,CS,D,18,2004,Ceske Budejovice,Czech-2,x,510,12,41,53,-71,316
1995,2,29,Anaheim Ducks,Brian Wesenberg\wesenbr01,CA,RW,18,1999,Guelph,OHL,x,1,0,0,0,1,5
1996,2,29,New York Islanders,Dan LaCouture\lacouda01,US,LW,19,2009,Springfield,,x,337,20,25,45,-44,348
1997,2,29,Los Angeles Kings,Scott Barney\barnesc01,CA,C,18,2006,Peterborough,OHL,x,27,5,6,11,1,4
1998,2,29,San Jose Sharks,Jonathan Cheechoo\cheecjo01,CA,RW,18,2010,Belleville,OHL,x,501,170,135,305,29,324
1999,2,29,Washington Capitals,Michal Sivek\sivekmi01,CS,C,18,2003,Poldi Kladno,Czech,x,38,3,3,6,-5,14
2000,1,30,St. Louis Blues,Jeff Taffe\taffeje01,US,C,19,2012,Minnesota,WCHA,x,180,21,25,46,-20,40
2001,1,30,Los Angeles Kings,David Steckel\steckda01,US,C,19,2014,Ohio State,CCHA,x,425,33,46,79,-14,129
2002,1,30,Atlanta Thrashers,Jim Slater\slateji01,US,C,19,2015,Michigan State,CCHA,x,584,67,71,138,-17,407
2003,1,30,St. Louis Blues,Shawn Belle\bellesh01,CA,D,18,2011,Tri-City,WHL,x,20,0,1,1,1,2
2004,1,30,Tampa Bay Lightning,Andy Rogers,CA,D,18,,Calgary,WHL,,,,,,,
2005,1,30,Tampa Bay Lightning,Vladimir Mihalik\mihalvl01,CS,D,18,2010,Presov,,x,15,0,3,3,-7,8
1993,2,30,Anaheim Ducks,Nikolai Tsulygin\tsulyni01,SU,D,18,1997,Salavat Yulayev Ufa,KHL,x,22,0,1,1,-5,8
1994,2,30,Winnipeg Jets,Deron Quint\quintde01,US,D,18,2007,Seattle,WHL,x,463,46,97,143,-108,166
1995,2,30,Tampa Bay Lightning,Mike McBain\mcbaimi01,CA,D,18,1999,Red Deer,WHL,x,64,0,7,7,-21,22
1996,2,30,Los Angeles Kings,Josh Green\greenjo01,CA,LW,18,2012,Medicine Hat,WHL,x,341,36,40,76,-16,206
1997,2,30,Philadelphia Flyers,Jean-Marc Pelletier\pelleje01,US,G,19,2004,Cornell,ECAC,x,7,0,0,0,0,0
1998,2,30,Florida Panthers,Kyle Rossiter\rossiky01,CA,D,18,2004,Spokane,WHL,x,11,0,1,1,-3,9
1999,2,30,Atlanta Thrashers,Luke Sellars\sellalu01,CA,D,18,2002,Ottawa,OHL,x,1,0,0,0,0,2
1993,2,31,Winnipeg Jets,Scott Langkow\langksc01,CA,G,18,2000,Portland,WHL,x,20,0,0,0,0,0
1994,2,31,Florida Panthers,Jason Podollan\podolja01,CA,RW,18,2002,Spokane,WHL,x,41,1,5,6,-8,19
1995,2,31,Edmonton Oilers,Georges Laraque\laraqge01,CA,RW,18,2010,St. Jean,QMJHL,x,695,53,100,153,1,1126
1996,2,31,Chicago Blackhawks,Remi Royer\royerre01,CA,D,18,1999,St. Hyacinthe,QMJHL,x,18,0,0,0,-10,67
1997,2,31,New York Islanders,Jeff Zehr\zehrje01,CA,LW,18,2000,Windsor,OHL,x,4,0,0,0,-1,2
1998,2,31,Vancouver Canucks,Artem Chubarov\chubaar01,SU,C,18,2004,Dynamo Moscow,Russia,x,228,25,33,58,-3,40
1999,2,31,Washington Capitals,Charlie Stephens\stephch01,CA,C,18,2004,Guelph,OHL,x,8,0,2,2,-1,4
2000,2,31,Atlanta Thrashers,Ilja Nikulin,RU,,,,Tver,Russia-2,,,,,,,
2001,2,31,Phoenix Coyotes,Matthew Spiller\spillma01,CA,D,18,2008,Seattle,WHL,x,68,0,2,2,-14,74
2002,2,31,Edmonton Oilers,Jeff Deslauriers\drouije01,CA,G,18,2012,Chicoutimi,QMJHL,x,62,0,4,4,0,8
2003,2,31,Carolina Hurricanes,Danny Richmond\richmda01,US,D,19,2008,Michigan,CCHA,x,49,0,3,3,-12,75
2004,2,31,Pittsburgh Penguins,Johannes Salmonsson,SE,LW,18,,Djurgarden,Sweden,,,,,,,
2005,2,31,Anaheim Ducks,Brendan Mikkelson\mikkebr01,CA,D,18,2013,Portland,WHL,x,131,1,9,10,-14,59
1993,2,32,New Jersey Devils,Jay Pandolfo\pandoja01,US,LW,18,2013,Boston University,H-East,x,899,100,126,226,-1,164
1994,2,32,Edmonton Oilers,Mike Watt\wattmi01,CA,LW,18,2003,Stratford Jr. B,GOJHL,x,157,15,26,41,-17,41
1995,2,32,Winnipeg Jets,Marc Chouinard\chouima01,CA,C,18,2007,Beauport,QMJHL,x,320,37,41,78,-9,123
1996,2,32,Edmonton Oilers,Chris Hajt\hajtch01,CA,D,18,2004,Guelph,OHL,x,6,0,0,0,-1,2
1997,2,32,Calgary Flames,Evan Lindsay,CA,,,,Prince Albert,WHL,,,,,,,
1998,2,32,Anaheim Ducks,Stephen Peat\peatst01,CA,RW,18,2006,Red Deer,WHL,x,130,8,2,10,-16,234
1999,2,32,Dallas Stars,Michael Ryan\ryanmi01,US,C,19,2009,Bos. College High,High-MA,x,83,7,8,15,-15,34
2000,2,32,Carolina Hurricanes,Tomas Kurka\kurkato01,CS,LW,18,2004,Plymouth,OHL,x,17,3,2,5,1,2
2001,2,32,Buffalo Sabres,Derek Roy\royde01,CA,C,18,2015,Kitchener,OHL,x,738,189,335,524,29,391
2002,2,32,Dallas Stars,Janos Vas,HU,LW,18,,Malmo Jr.,Sweden-Jr.,,,,,,,
2003,2,32,Pittsburgh Penguins,Ryan Stone\stonery01,CA,C,18,2010,Brandon,WHL,x,35,0,7,7,2,55
2004,2,32,Chicago Blackhawks,Dave Bolland\bollada01,CA,C,18,2016,London,OHL,x,433,85,123,208,34,299
2005,2,32,Florida Panthers,Tyler Plante,US,G,18,,Brandon,WHL,,,,,,,
1993,2,33,Edmonton Oilers,David Vyborny\vyborda01,CS,RW,18,2008,Sparta Praha,Czech,x,543,113,204,317,-48,228
1994,2,33,Los Angeles Kings,Matt Johnson\johnsma03,CA,LW,18,2004,Peterborough,OHL,x,473,23,20,43,-51,1523
1995,2,33,Los Angeles Kings,Don MacLean\macledo01,CA,C,18,2007,Beauport,QMJHL,x,41,8,5,13,-6,6
1996,2,33,Buffalo Sabres,Darren Van Oene,CA,,,,Brandon,WHL,,,,,,,
1997,2,33,Tampa Bay Lightning,Kyle Kos,CA,,,,Red Deer,WHL,,,,,,,
1998,2,33,Calgary Flames,Blair Betts\bettsbl01,CA,C,18,2011,Prince George,WHL,x,477,41,37,78,-18,118
1999,2,33,Nashville Predators,Jonas Andersson\anderjo02,SE,RW,18,2011,AIK Solna Jr.,Sweden-2,x,9,0,0,0,-1,2
2000,2,33,Minnesota Wild,Nick Schultz\schulni01,CA,D,18,2017,Prince Albert,WHL,x,1069,30,145,175,-18,483
2001,2,33,Nashville Predators,Timofei Shishkanov\shishti01,SU,LW,18,2006,Spartak Moscow 2,Russia-3,x,24,3,2,5,-2,6
2002,2,33,New York Rangers,Lee Falardeau,US,C,19,,Michigan State,CCHA,,,,,,,
2003,2,33,Dallas Stars,Loui Eriksson\erikslo01,SE,LW,18,2020,Vastra Frolunda Jr.,Sweden-Jr.,x,970,250,343,593,37,192
2004,2,33,Washington Capitals,Chris Bourque\bourqch01,US,LW,18,2013,Cushing Academy,High-MA,x,51,2,6,8,-12,18
2005,2,33,Dallas Stars,James Neal\nealja01,CA,LW,18,2020,Plymouth,OHL,x,821,289,256,545,10,570
1993,2,34,New York Rangers,Lee Sorochan\sorocle01,CA,D,18,2000,Lethbridge,WHL,x,3,0,0,0,-3,0
1994,2,34,Tampa Bay Lightning,Colin Cloutier,CA,,,,Brandon,WHL,,,,,,,
1995,2,34,Winnipeg Jets,Jason Doig\doigja01,CA,D,18,2004,Laval,QMJHL,x,158,6,18,24,-21,285
1996,2,34,Hartford Whalers,Trevor Wasyluk,CA,,,,Medicine Hat,WHL,,,,,,,
1997,2,34,Vancouver Canucks,Ryan Bonni\bonniry01,CA,D,18,2000,Saskatoon,WHL,x,3,0,0,0,-1,0
1998,2,34,Buffalo Sabres,Andrew Peters\peteran01,CA,LW,18,2010,Oshawa,OHL,x,229,4,3,7,-17,650
1999,2,34,Washington Capitals,Ross Lupaschuk\lupasro01,CA,D,18,2003,Prince Albert,WHL,x,3,0,0,0,-3,4
2000,2,34,Tampa Bay Lightning,Ruslan Zainullin,RU,,,,Ak Bars Kazan,Russia,,,,,,,
2001,2,34,Florida Panthers,Greg Watson,CA,C,18,,Prince Albert,WHL,,,,,,,
2002,2,34,Dallas Stars,Tobias Stephan\stephto01,CH,G,18,2009,Chur,,x,11,0,1,1,0,0
2003,2,34,Tampa Bay Lightning,Mike Egener,DE,D,18,,Calgary,WHL,,,,,,,
2004,2,34,Dallas Stars,Johan Fransson,SE,D,19,,Lulea,Sweden,,,,,,,
2005,2,34,Colorado Avalanche,Ryan Stoa\stoary01,US,C,18,2014,U.S. National U-18,USNTDP,x,40,4,3,7,-8,20
1993,2,35,Dallas Stars,Jamie Langenbrunner\langeja01,US,RW,18,2013,Cloquet,High-MN,x,1109,243,420,663,62,837
1994,2,35,Quebec Nordiques,Josef Marha\marhajo01,CS,C,18,2001,Dukla Jihlava,Czech-2,x,159,21,32,53,-8,32
1995,2,35,Hartford Whalers,Sergei Fedotov,RU,,,,Dynamo Moscow,Russia,,,,,,,
1996,2,35,Anaheim Ducks,Matt Cullen\cullema01,US,C,19,2019,St. Cloud State,WCHA,x,1516,266,465,731,-24,592
1997,2,35,Washington Capitals,Jean-Francois Fortin\fortije01,CA,D,18,2004,Sherbrooke,QMJHL,x,71,1,4,5,-4,42
1998,2,35,Toronto Maple Leafs,Petr Svoboda\svobope02,CS,D,18,2001,Havlickuv Brod,,x,18,1,2,3,-5,10
1999,2,35,Buffalo Sabres,Milan Bartovic\bartomi01,CS,RW,18,2006,Dukla Trencin Jr.,Slovak-Jr.,x,50,3,14,17,1,26
2000,2,35,Edmonton Oilers,Brad Winchester\winchbr01,US,LW,19,2012,Wisconsin,WCHA,x,390,37,31,68,-42,552
2001,2,35,Anaheim Ducks,Mark Popovic\popovma01,CA,D,18,2010,St. Michael's,OJHL,x,81,2,5,7,-8,20
2002,2,35,Pittsburgh Penguins,Ondrej Nemec,CZ,D,18,,Vsetin,Czech,,,,,,,
2003,2,35,Nashville Predators,Konstantin Glazachev,RU,LW,18,,Lokomotiv Yaroslavl,KHL,,,,,,,
2004,2,35,Phoenix Coyotes,Logan Stephenson,CA,D,18,,Tri-City,WHL,,,,,,,
2005,2,35,San Jose Sharks,Marc-Edouard Vlasic\vlasima01,CA,D,18,2020,Quebec,QMJHL,x,1035,72,254,326,122,402
1993,2,36,Philadelphia Flyers,Janne Niinimaa\niinija01,FI,D,18,2007,Karpat Oulu,Finland,x,741,54,265,319,43,733
1994,2,36,Florida Panthers,Ryan Johnson\johnsry01,CA,C,18,2011,Thunder Bay,USHL,x,701,38,84,122,-87,250
1995,2,36,Florida Panthers,Aaron MacDonald,CA,,,,Swift Current,WHL,,,,,,,
1996,2,36,Toronto Maple Leafs,Marek Posmyk\posmyma01,CS,D,18,2001,Dukla Jihlava,Czech-2,x,19,1,2,3,0,20
1997,2,36,Vancouver Canucks,Harold Druken\drukeha01,CA,C,18,2004,Detroit,OHL,x,146,27,36,63,18,36
1998,2,36,New York Islanders,Chris Nielsen\nielsch01,TZ,RW,18,2002,Calgary,WHL,x,52,6,8,14,1,8
1999,2,36,Edmonton Oilers,Alexei Semenov\semenal01,SU,D,18,2009,Sudbury,OHL,x,211,7,26,33,1,249
2000,2,36,Nashville Predators,Daniel Widing,SE,,,,Leksand,Sweden,,,,,,,
2001,2,36,Minnesota Wild,Kyle Wanvig\wanviky01,CA,RW,20,2008,Red Deer,WHL,x,75,6,9,15,-11,94
2002,2,36,Edmonton Oilers,Jarret Stoll\stollja01,CA,C,20,2016,Kootenay,WHL,x,872,144,244,388,2,618
2003,2,36,Dallas Stars,Vojtech Polak\polakvo01,CS,LW,18,2007,Karlovy Vary,Czech,x,5,0,0,0,-2,0
2004,2,36,New York Rangers,Darin Olver,CA,C,19,,Northern Michigan,CCHA,,,,,,,
2005,2,36,Edmonton Oilers,Taylor Chorney\chornta01,CA,D,18,2018,Shattuck-St. Mary's,High-MN,x,166,4,18,22,-6,56
1993,2,37,St. Louis Blues,Maxim Bets\betsma01,SU,LW,19,1994,Spokane,WHL,x,3,0,0,0,-3,0
1994,2,37,San Jose Sharks,Angel Nikolov,CZ,,,,Chemopetrol Litvinov,Russia,,,,,,,
1995,2,37,Dallas Stars,Patrick Cote\cotepa01,CA,LW,20,2001,Beauport,QMJHL,x,105,1,2,3,-19,377
1996,2,37,Los Angeles Kings,Marian Cisar\cisarma01,CS,RW,18,2002,Slovan Bratislava,KHL,x,73,13,17,30,-12,57
1997,2,37,Montreal Canadiens,Gregor Baumgartner,AT,,,,Laval,QMJHL,,,,,,,
1998,2,37,New Jersey Devils,Christian Berglund\berglch01,SE,LW,18,2004,Farjestad Jr.,Sweden-Jr.,x,86,11,16,27,-6,42
1999,2,37,Washington Capitals,Nolan Yonkman\yonkmno01,CA,D,18,2014,Kelowna,WHL,x,76,1,9,10,7,140
2000,2,37,Boston Bruins,Andy Hilbert\hilbean01,US,C,19,2010,Michigan,CCHA,x,307,42,62,104,9,132
2001,2,37,Montreal Canadiens,Duncan Milroy\milrodu01,CA,RW,18,2007,Swift Current,WHL,x,5,0,1,1,-2,0
2002,2,37,Anaheim Ducks,Tim Brent\brentti01,CA,C,18,2013,St. Michaell's,OHL,x,207,21,27,48,-21,76
2003,2,37,Nashville Predators,Kevin Klein\kleinke01,CA,D,18,2017,St. Michael's,OJHL,x,627,38,116,154,22,185
2004,2,37,Florida Panthers,David Shantz,CA,G,18,,Mississauga,OHL,,,,,,,
2005,2,37,St. Louis Blues,Scott Jackson\jackssc01,CA,D,18,2010,Seattle,WHL,x,1,0,0,0,0,0
1993,2,38,Buffalo Sabres,Denis Tsygurov\tsygude01,SU,D,22,1996,Lada Togliatti,KHL,x,51,1,5,6,-4,45
1994,2,38,New York Islanders,Jason Holland\hollaja01,CA,D,18,2004,Kamloops,WHL,x,81,4,5,9,1,36
1995,2,38,San Jose Sharks,Peter Roed,US,,,,White Bear,High-MN,,,,,,,
1996,2,38,New Jersey Devils,Wes Mason,CA,,,,Sarnia,OHL,,,,,,,
1997,2,38,New Jersey Devils,Stanislav Gron\gronst01,CS,RW,18,2001,Slovan Bratislava,KHL,x,1,0,0,0,1,0
1998,2,38,Colorado Avalanche,Philippe Sauve\sauveph01,US,G,18,2007,Rimouski,QMJHL,x,32,0,0,0,0,23
1999,2,38,Calgary Flames,Dan Cavanaugh,US,,,,Boston University,H-East,,,,,,,
2000,2,38,Detroit Red Wings,Tomas Kopecky\kopecto01,CS,C,18,2015,Dukla Trencin,Slovakia,x,578,68,106,174,-54,307
2001,2,38,Columbus Blue Jackets,Tim Jackman\jackmti01,US,RW,19,2016,Minnesota State,WCHA,x,483,32,43,75,-66,806
2002,2,38,Minnesota Wild,Josh Harding\hardijo01,CA,G,18,2014,Regina,WHL,x,151,0,2,2,0,6
2003,2,38,Florida Panthers,Kamil Kreps\krepska01,CS,C,18,2010,Brampton,OHL,x,232,18,42,60,4,71
2004,2,38,Carolina Hurricanes,Justin Peters\peterju01,CA,G,18,2017,St. Michael's,OJHL,x,83,0,2,2,0,8
2005,2,38,New Jersey Devils,Jeff Frazee\frazeje01,US,G,18,2013,U.S. National U-18,USNTDP,x,1,0,0,0,0,0
1993,2,39,New Jersey Devils,Brendan Morrison\morribr01,CA,C,18,2012,Penticton,BCHL,x,934,200,401,601,86,452
1994,2,39,Vancouver Canucks,Robb Gordon\gordoro01,CA,C,18,1999,Powell River,BCHL,x,4,0,0,0,0,2
1995,2,39,New York Rangers,Christian Dube\dubech01,CA,C,18,1999,Sherbrooke,QMJHL,x,33,1,1,2,-4,4
1996,2,39,Calgary Flames,Travis Brigley\brigltr01,CA,LW,19,2004,Lethbridge,WHL,x,55,3,6,9,-6,16
1997,2,39,Chicago Blackhawks,Jeremy Reich\reichje01,CA,LW,18,2008,Seattle,WHL,x,99,2,4,6,-18,161
1998,2,39,Dallas Stars,John Erskine\erskijo01,CA,D,18,2014,London,OHL,x,491,15,39,54,-17,865
1999,2,39,Montreal Canadiens,Alexander Buturlin,RU,,,,CSKA Moscow,Russia,,,,,,,
2000,2,39,New Jersey Devils,Teemu Laine,FI,,,,Jokerit Helsinki,KHL,,,,,,,
2001,2,39,Toronto Maple Leafs,Karel Pilar\pilarka01,CS,D,23,2004,Chemopetrol Litvinov,Russia,x,90,6,24,30,-2,42
2002,2,39,Calgary Flames,Brian McConnell,US,C,19,,Boston University,H-East,,,,,,,
2003,2,39,Calgary Flames,Tim Ramholt\ramhoti01,CH,D,18,2008,Zurich,Swiss,x,1,0,0,0,-1,0
