Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
2002,2,43,Dallas Stars,Trevor Daley\daleytr01,CA,D,18,2020,Sault Ste. Marie,OHL,x,1058,89,220,309,-8,648
2003,2,43,San Jose Sharks,Josh Hennessy\hennejo01,US,C,18,2012,Quebec,QMJHL,x,23,1,0,1,-1,6
2004,2,43,Buffalo Sabres,Michael Funk\funkmi01,CA,D,18,2008,Portland,WHL,x,9,0,2,2,-1,0
2005,2,43,Chicago Blackhawks,Mike Blunden\blundmi01,CA,RW,18,2018,Erie,OHL,x,127,7,6,13,-6,145
1993,2,44,Calgary Flames,Jamie Allison\allisja01,CA,D,18,2006,Detroit,OHL,x,372,7,23,30,-34,639
1994,2,44,Montreal Canadiens,Jose Theodore\theodjo01,CA,G,18,2013,St. Jean,QMJHL,x,648,1,16,17,0,40
1995,2,44,New Jersey Devils,Nathan Perrott\perrona01,CA,RW,18,2006,Oshawa,OHL,x,89,4,5,9,-5,251
1996,2,44,Montreal Canadiens,Mathieu Garon\garonma01,CA,G,18,2013,Victoriaville,QMJHL,x,341,0,7,7,0,28
1997,2,44,Pittsburgh Penguins,Brian Gaffaney,US,,,,North Iowa,NAHL,,,,,,,
1998,2,44,Ottawa Senators,Mike Fisher\fishemi01,CA,C,18,2018,Sudbury,OHL,x,1104,278,311,589,27,815
1999,2,44,Anaheim Ducks,Jordan Leopold\leopojo01,US,D,19,2015,Minnesota,WCHA,x,695,67,147,214,-37,293
2000,2,44,Anaheim Ducks,Ilya Bryzgalov\bryzgil01,SU,G,20,2015,Lada Togliatti,KHL,x,465,0,12,12,0,20
2001,2,44,New Jersey Devils,Igor Pohanka,SK,C,18,,Prince Albert,WHL,,,,,,,
2002,2,44,Edmonton Oilers,Matt Greene\greenma01,US,D,19,2017,Green Bay,USHL,x,615,17,63,80,-10,663
2003,2,44,Los Angeles Kings,Konstantin Pushkarev\pushkko01,SU,RW,18,2007,Ust-Kamenogorsk,Russia-3,x,17,2,3,5,-2,8
2004,2,44,Edmonton Oilers,Roman Tesliuk,RU,D,18,,Kamloops,WHL,,,,,,,
2005,2,44,Colorado Avalanche,Paul Stastny\stastpa01,CA,C,19,2020,Denver,WCHA,x,945,250,476,726,39,438
1993,2,45,San Jose Sharks,Vlastimil Kroupa\kroupvl01,CS,D,18,1998,Chemopetrol Litvinov,Russia,x,105,4,19,23,-46,66
1994,2,45,Calgary Flames,Dmitri Ryabykin,UZ,,,,Dynamo-2 Moscow,Russia,,,,,,,
1995,2,45,Chicago Blackhawks,Christian Laflamme\laflach01,CA,D,18,2004,Beauport,QMJHL,x,324,2,45,47,-5,282
1996,2,45,Boston Bruins,Henry Kuster,CA,,,,Medicine Hat,WHL,,,,,,,
1997,2,45,Anaheim Ducks,Maxim Balmochnykh\balmoma01,SU,LW,18,2000,Lada Togliatti,KHL,x,6,0,1,1,2,2
1998,2,45,Montreal Canadiens,Mike Ribeiro\ribeimi01,CA,C,18,2017,Rouyn-Noranda,QMJHL,x,1074,228,565,793,5,577
1999,2,45,Colorado Avalanche,Martin Grenier\grenima01,CA,D,18,2007,Quebec,QMJHL,x,18,1,0,1,-1,14
2000,2,45,Ottawa Senators,Mathieu Chouinard\chouima02,CA,G,20,2004,Shawinigan,QMJHL,x,1,0,0,0,0,0
2001,2,45,Phoenix Coyotes,Martin Podlesak,CZ,C,18,,Lethbridge,WHL,,,,,,,
2002,2,45,Montreal Canadiens,Tomas Linhart,CZ,D,18,,Pardubice Jr.,Czech-Jr.,,,,,,,
2003,2,45,Boston Bruins,Patrice Bergeron\bergepa01,CA,C,18,2020,Acadie-Bathurst,QMJHL,x,1089,352,517,869,201,424
2004,2,45,Chicago Blackhawks,Ryan Garlock,CA,C,18,,Windsor,OHL,,,,,,,
2005,2,45,Montreal Canadiens,Guillaume Latendresse\latengu01,CA,LW,18,2013,Drummondville,QMJHL,x,341,87,60,147,-15,185
