Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
1994,1,7,Los Angeles Kings,Jamie Storr\storrja01,CA,G,18,2004,Owen Sound,OHL,x,219,0,3,3,0,26
1995,1,7,Winnipeg Jets,Shane Doan\doansh01,CA,RW,18,2017,Kamloops,WHL,x,1540,402,570,972,-54,1353
1996,1,7,Buffalo Sabres,Erik Rasmussen\rasmuer01,US,LW,19,2007,Minnesota,WCHA,x,545,52,76,128,5,305
1997,1,7,Tampa Bay Lightning,Paul Mara\marapa01,US,D,18,2011,Sudbury,OHL,x,734,64,189,253,-110,776
1998,1,7,New York Rangers,Manny Malhotra\malhoma01,CA,C,18,2015,Guelph,OHL,x,991,116,179,295,-26,451
1999,1,7,Washington Capitals,Kris Beech\beechkr01,CA,C,18,2008,Calgary,WHL,x,198,25,42,67,-37,113
2000,1,7,Boston Bruins,Lars Jonsson\jonssla01,SE,D,18,2007,Leksand,Sweden,x,8,0,2,2,-4,6
2001,1,7,Montreal Canadiens,Mike Komisarek\komismi01,US,D,19,2014,Michigan,CCHA,x,551,14,67,81,-19,679
2002,1,7,Anaheim Ducks,Joffrey Lupul\lupuljo01,CA,LW,18,2016,Medicine Hat,WHL,x,701,205,215,420,-79,407
2003,1,7,Nashville Predators,Ryan Suter\suterry01,US,D,18,2020,USA U-18,USNTDP,x,1142,90,498,588,96,655
2004,1,7,Florida Panthers,Rostislav Olesz\oleszro01,CS,LW,18,2014,Vitkovice,Czech,x,365,57,77,134,-11,118
2005,1,7,Chicago Blackhawks,Jack Skille\skillja01,US,RW,18,2017,U.S. National U-18,USNTDP,x,368,43,41,84,-52,118
1993,1,8,New York Rangers,Niklas Sundstrom\sundsni01,SE,RW,18,2006,MoDo Ornskoldsvik,Sweden,x,750,117,232,349,45,256
1994,1,8,Tampa Bay Lightning,Jason Wiemer\wiemeja01,CA,C,18,2006,Portland,WHL,x,726,90,112,202,-81,1420
1995,1,8,Montreal Canadiens,Terry Ryan\ryante01,CA,LW,18,1999,Tri-City,WHL,x,8,0,0,0,0,36
1996,1,8,Boston Bruins,Johnathan Aitken\aitkejo01,CA,D,18,2004,Medicine Hat,WHL,x,44,0,1,1,-12,70
1997,1,8,Boston Bruins,Sergei Samsonov\samsose01,SU,LW,18,2011,Detroit,OHL,x,888,235,336,571,11,209
1998,1,8,Chicago Blackhawks,Mark Bell\bellma01,CA,C,18,2012,Ottawa,OHL,x,450,87,95,182,-45,602
1999,1,8,New York Islanders,Taylor Pyatt\pyattta01,CA,LW,18,2014,Sudbury,OHL,x,859,140,140,280,-14,430
