Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
2010,2,35,Chicago Blackhawks,Ludvig Rensfeldt,SE,LW,18,,Brynas Jr.,Sweden-Jr.,,,,,,,
2006,2,36,San Jose Sharks,Jamie McGinn\mcginja01,CA,LW,18,2019,Ottawa,OHL,x,617,117,103,220,-83,267
2007,2,36,Phoenix Coyotes,Joel Gistedt,SE,G,19,,Vastra Frolunda,Sweden,,,,,,,
2008,2,36,New York Islanders,Corey Trivino,CA,C,18,,Stouffville,OPJHL,,,,,,,
2009,2,36,Phoenix Coyotes,Chris Brown\brownch01,US,C,18,2016,U.S. National U-18,USNTDP,x,23,2,1,3,1,21
2010,2,36,Florida Panthers,Alex Petrovic\petroal01,CA,D,18,2019,Red Deer,WHL,x,263,5,45,50,-10,360
2006,2,37,Boston Bruins,Yury Alexandrov,SU,D,18,,Cherepovets,,,,,,,,
2007,2,37,Columbus Blue Jackets,Stefan Legein,CA,RW,18,,Mississauga,OHL,,,,,,,
2008,2,37,Columbus Blue Jackets,Cody Goloubef\golouco01,CA,D,18,2020,Wisconsin,WCHA,x,160,3,22,25,-7,76
2009,2,37,Anaheim Ducks,Mat Clark\clarkma01,US,D,18,2015,Brampton,OHL,x,9,0,1,1,0,6
2010,2,37,Carolina Hurricanes,Justin Faulk\faulkju01,US,D,18,2020,USA U-18,USHL,x,628,90,184,274,-103,297
2006,2,38,Anaheim Ducks,Bryce Swan,CA,C,18,,Halifax,QMJHL,,,,,,,
2007,2,38,Chicago Blackhawks,Bill Sweatt\sweatbi01,US,LW,18,2013,Colorado College,,x,3,0,0,0,-1,0
2008,2,38,Nashville Predators,Roman Josi\josiro01,CH,D,18,2020,Bern,Swiss,x,632,109,304,413,66,234
2009,2,38,Dallas Stars,Alex Chiasson\chiasal01,CA,RW,18,2020,Des Moines,USHL,x,519,92,94,186,-30,296
2010,2,38,New Jersey Devils,Jon Merrill\merrijo01,US,D,18,2020,USA U-18,USHL,x,356,12,49,61,-9,195
2006,2,39,Philadelphia Flyers,Andreas Nodl\nodlan01,AT,RW,19,2013,Sioux Falls,USHL,x,183,15,21,36,-9,28
2007,2,39,St. Louis Blues,Simon Hjalmarsson,SE,RW,18,,Vastra Frolunda Jr.,,,,,,,,
2008,2,39,Anaheim Ducks,Eric O'Dell\odeller01,CA,C,18,2015,Sudbury,OHL,x,41,3,5,8,-2,29
2009,2,39,Ottawa Senators,Jakob Silfverberg\silfvja01,SE,LW,18,2020,Brynas Gavle,Sweden,x,558,138,153,291,41,160
2010,2,39,Minnesota Wild,Brett Bulmer\bulmebr01,CA,RW,18,2016,Kelowna,WHL,x,17,0,3,3,-2,15
2006,2,40,Minnesota Wild,Ondrej Fiala,CZ,C,18,,Everett,WHL,,,,,,,
2007,2,40,Florida Panthers,Michal Repik\repikmi01,CS,RW,18,2012,Vancouver,WCHL,x,72,9,11,20,-7,36
2008,2,40,New York Islanders,Aaron Ness\nessaa01,US,D,18,2020,Roseau,High-MN,x,71,1,6,7,-7,22
2009,2,40,Edmonton Oilers,Anton Lander\landean01,SE,C,18,2017,Timra,,x,215,10,25,35,-41,56
2010,2,40,New York Rangers,Christian Thomas\thomach01,CA,RW,18,2016,Oshawa,OHL,x,27,1,2,3,-2,9
2006,2,41,Detroit Red Wings,Cory Emmerton\emmerco01,CA,C,18,2014,Kingston,OHL,x,139,12,9,21,-1,22
2007,2,41,Philadelphia Flyers,Kevin Marshall\marshke01,CA,D,18,2012,Lewiston,QMJHL,x,10,0,0,0,-1,8
2008,2,41,Vancouver Canucks,Yann Sauve\sauveya01,CA,D,18,2014,Saint John,QMJHL,x,8,0,0,0,-4,0
2009,2,41,Nashville Predators,Zach Budish,US,RW,18,,Edina,High-MN,,,,,,,
2010,2,41,Dallas Stars,Patrik Nemeth\nemetpa01,SE,D,18,2020,AIK,Sweden-2,x,314,5,43,48,14,162
2006,2,42,Philadelphia Flyers,Mike Ratchuk,US,D,18,,U.S. National U-18,USNTDP,,,,,,,
2007,2,42,Anaheim Ducks,Eric Tangradi\tangrer01,US,C,18,2019,Belleville,OHL,x,150,5,11,16,-22,86
2008,2,42,Ottawa Senators,Patrick Wiercioch\wiercpa01,CA,D,18,2017,Omaha,USHL,x,268,16,58,74,-5,138
2009,2,42,Nashville Predators,Charles-Olivier Roussel,CA,D,18,,Shawinigan,QMJHL,,,,,,,
2010,2,42,Anaheim Ducks,Devante Smith-Pelly\smithde06,CA,RW,18,2019,Mississauga,OHL,x,395,44,57,101,-41,137
2006,2,43,Atlanta Thrashers,Riley Holzapfel,CA,C,18,,Moose Jaw,WHL,,,,,,,
2007,2,43,Montreal Canadiens,P.K. Subban\subbapk01,CA,D,18,2020,Belleville,OHL,x,713,105,321,426,29,797
2008,2,43,Anaheim Ducks,Justin Schultz\schulju01,CA,D,18,2020,Westside,BCHL,x,482,50,164,214,-35,110
2009,2,43,San Jose Sharks,William Wrenn,US,D,18,,U.S. National U-18,USNTDP,,,,,,,
2010,2,43,Toronto Maple Leafs,Brad Ross,CA,LW,18,,Portland,WHL,,,,,,,
2006,2,44,Toronto Maple Leafs,Nikolai Kulemin\kulemni01,SU,LW,20,2018,Magnitogorsk,Russia,x,669,121,153,274,15,173
2007,2,44,St. Louis Blues,Aaron Palushaj\palusaa01,US,RW,18,2014,Des Moines,USHL,x,68,3,11,14,-1,18
2008,2,44,Buffalo Sabres,Luke Adam\adamlu01,CA,C,18,2015,St. John's,QMJHL,x,90,15,11,26,-11,36
2009,2,44,Florida Panthers,Drew Shore\shoredr01,US,C,18,2017,U.S. National U-18,USNTDP,x,94,9,17,26,-19,28
2010,2,44,St. Louis Blues,Sebastian Wannstrom,SE,RW,19,,Brynas,Sweden,,,,,,,
2006,2,45,Edmonton Oilers,Jeff Petry\petryje01,US,D,18,2020,Des Moines,USHL,x,680,69,184,253,-116,269
2007,2,45,Colorado Avalanche,Colby Cohen\cohenco01,US,D,18,2011,Lincoln,USHL,x,3,0,0,0,-1,4
2008,2,45,Carolina Hurricanes,Zac Dalpe\dalpeza01,CA,RW,18,2019,Penticton,BCHL,x,141,12,13,25,-30,36
2009,2,45,Atlanta Thrashers,Jeremy Morin\morinje01,US,LW,18,2015,U.S. National U-18,USNTDP,x,82,10,12,22,8,69
2010,2,45,Boston Bruins,Ryan Spooner\spoonry01,CA,C,18,2019,Peterborough,OHL,x,325,48,119,167,-21,63
